id;timestamp;value;meter_port_id;created;last_modified
83174730;2015-09-21 03:43:59.555+02;24000;31;2015-09-21 03:43:59.669482+02;2015-09-21 03:43:59.669516+02
83174729;2015-09-21 03:43:59.555+02;30255000;30;2015-09-21 03:43:59.61616+02;2015-09-21 03:43:59.616201+02
83174751;2015-09-21 03:44:11.077+02;7000;29;2015-09-21 03:44:11.190826+02;2015-09-21 03:44:11.190857+02
83174750;2015-09-21 03:44:11.077+02;137519000;28;2015-09-21 03:44:11.1415+02;2015-09-21 03:44:11.141535+02
83174754;2015-09-21 03:44:11.391+02;213000;25;2015-09-21 03:44:11.496505+02;2015-09-21 03:44:11.49654+02
83174753;2015-09-21 03:44:11.391+02;46429469000;24;2015-09-21 03:44:11.431914+02;2015-09-21 03:44:11.43195+02
83174783;2015-09-21 03:44:31.068+02;7000;29;2015-09-21 03:44:31.141752+02;2015-09-21 03:44:31.141787+02
83174786;2015-09-21 03:44:31.398+02;46429469000;24;2015-09-21 03:44:31.438169+02;2015-09-21 03:44:31.438203+02
83174845;2015-09-21 03:44:35+02;235415;1286;2015-09-21 03:45:08.716593+02;2015-09-21 03:45:08.716625+02
83174815;2015-09-21 03:44:51.397+02;213000;25;2015-09-21 03:44:51.471465+02;2015-09-21 03:44:51.471497+02
83174829;2015-09-21 03:44:59.557+02;30255000;30;2015-09-21 03:44:59.620248+02;2015-09-21 03:44:59.620282+02
83174867;2015-09-21 03:45:19.553+02;30255000;30;2015-09-21 03:45:19.6025+02;2015-09-21 03:45:19.602531+02
83174883;2015-09-21 03:45:31.071+02;7000;29;2015-09-21 03:45:31.149433+02;2015-09-21 03:45:31.149467+02
83174886;2015-09-21 03:45:31.401+02;46429473000;24;2015-09-21 03:45:31.443535+02;2015-09-21 03:45:31.443569+02
83174915;2015-09-21 03:45:51.398+02;605000;25;2015-09-21 03:45:51.485535+02;2015-09-21 03:45:51.485566+02
83174914;2015-09-21 03:45:51.398+02;46429476000;24;2015-09-21 03:45:51.436072+02;2015-09-21 03:45:51.436104+02
83174929;2015-09-21 03:45:59.557+02;30255000;30;2015-09-21 03:45:59.646755+02;2015-09-21 03:45:59.646787+02
83174950;2015-09-21 03:46:11.075+02;7000;29;2015-09-21 03:46:11.148388+02;2015-09-21 03:46:11.148424+02
83174952;2015-09-21 03:46:11.397+02;46429476000;24;2015-09-21 03:46:11.437125+02;2015-09-21 03:46:11.437178+02
83174967;2015-09-21 03:46:19.554+02;30255000;30;2015-09-21 03:46:19.638952+02;2015-09-21 03:46:19.638985+02
83174983;2015-09-21 03:46:31.072+02;7000;29;2015-09-21 03:46:31.152231+02;2015-09-21 03:46:31.152282+02
83174986;2015-09-21 03:46:31.404+02;604000;25;2015-09-21 03:46:31.487897+02;2015-09-21 03:46:31.487939+02
83174985;2015-09-21 03:46:31.404+02;46429476000;24;2015-09-21 03:46:31.443109+02;2015-09-21 03:46:31.443145+02
83175012;2015-09-21 03:46:51.073+02;137519000;28;2015-09-21 03:46:51.112486+02;2015-09-21 03:46:51.112518+02
83175014;2015-09-21 03:46:51.403+02;604000;25;2015-09-21 03:46:51.488093+02;2015-09-21 03:46:51.488125+02
83175013;2015-09-21 03:46:51.403+02;46429487000;24;2015-09-21 03:46:51.441985+02;2015-09-21 03:46:51.442018+02
83175029;2015-09-21 03:46:59.55+02;24000;31;2015-09-21 03:46:59.693819+02;2015-09-21 03:46:59.693853+02
83175027;2015-09-21 03:46:59.55+02;30255000;30;2015-09-21 03:46:59.608295+02;2015-09-21 03:46:59.608329+02
83175052;2015-09-21 03:47:11.4+02;46429487000;24;2015-09-21 03:47:11.446681+02;2015-09-21 03:47:11.446715+02
83175067;2015-09-21 03:47:19.557+02;30255000;30;2015-09-21 03:47:19.657414+02;2015-09-21 03:47:19.657445+02
83175086;2015-09-21 03:47:31.411+02;605000;25;2015-09-21 03:47:31.492075+02;2015-09-21 03:47:31.492107+02
83175085;2015-09-21 03:47:31.411+02;46429487000;24;2015-09-21 03:47:31.448909+02;2015-09-21 03:47:31.448941+02
83175112;2015-09-21 03:47:51.074+02;6000;29;2015-09-21 03:47:51.14345+02;2015-09-21 03:47:51.143481+02
